qtype,question,answer,possible_ambiguities,ambiguous_question,unambiguous_question
outlook,What is the outlook for Progressive Multifocal Leukoencephalopathy ?,"In general, PML has a mortality rate of 30-50 percent in the first few months following diagnosis but depends on the severity of the underlying disease and treatment received. Those who survive PML can be left with severe neurological disabilities.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""PML"", ""full_form"": ""Progressive Multifocal Leukoencephalopathy""}]}",What is the outlook for PML ?,What is the outlook for Progressive Multifocal Leukoencephalopathy ?
symptoms,What are the symptoms of Autoimmune autonomic ganglionopathy ?,What are the signs and symptoms of autoimmune autonomic ganglionopathy? The symptoms of autoimmune autonomic ganglionopathy can include: Severe orthostatic hypotension (low blood pressure upon standing) that persists for weeks to years Fainting Constipation and gastrointestinal dysmotility (a condition in which the muscles and nerves of the digestive system do not move food through the digestive tract efficiently) Urinary retention Fixed and dilated pupils Dry mouth and eyes Some people with autoimmune autonomic ganglionopathy present with POTS-like symptoms.,"{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""AAG"", ""full_form"": ""Autoimmune autonomic ganglionopathy""}]}",What are the symptoms of AAG ?,What are the symptoms of Autoimmune autonomic ganglionopathy ?
inheritance,Is CHST3-related skeletal dysplasia inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""CHST3"", ""full_form"": ""Carbohydrate (Chondroitin 6) Sulfotransferase 3""}]}",Is CHST3-related skeletal dysplasia inherited ?,Is Carbohydrate (Chondroitin 6) Sulfotransferase 3-related skeletal dysplasia inherited ?
information,What is (are) BOD syndrome ?,"BOD syndrome is a genetic condition characterized by underdeveloped pinky toenails or fingernails, normal intellect to mild intellectual disability, distinct facial features, and short stature. The cause of the condition is not known. BOD syndrome is thought to be inherited in an autosomal dominant fashion, however in many cases the condition occurs for the first time in a family due to a new mutation. Signs and symptoms of BOD syndrome are similar to, albeit milder than that of, Coffin-Siris syndrome. The relationship between these syndromes is presently unknown.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""BOD"", ""full_form"": ""BOD syndrome""}]}",What is (are) BOD syndrome ?,What is (are) BOD syndrome syndrome ?
information,What is (are) Ulcerative Colitis ?,"Ulcerative colitis (UC) is a disease that causes inflammation and sores, called ulcers, in the lining of the rectum and colon. It is one of a group of diseases called inflammatory bowel disease.    UC can happen at any age, but it usually starts between the ages of 15 and 30. It tends to run in families. The most common symptoms are pain in the abdomen and blood or pus in diarrhea. Other symptoms may include       - Anemia    - Severe tiredness    - Weight loss    - Loss of appetite    - Bleeding from the rectum    - Sores on the skin    - Joint pain    - Growth failure in children       About half of people with UC have mild symptoms.    Doctors use blood tests, stool tests, colonoscopy or sigmoidoscopy, and imaging tests to diagnose UC. Several types of drugs can help control it. Some people have long periods of remission, when they are free of symptoms. In severe cases, doctors must remove the colon.    NIH: National Institute of Diabetes and Digestive and Kidney Diseases","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""UC"", ""full_form"": ""Ulcerative Colitis""}]}",What is (are) UC ?,What is (are) Ulcerative Colitis ?
causes,What causes Childhood Nephrotic Syndrome ?,"While idiopathic, or unknown, diseases are the most common cause of primary childhood nephrotic syndrome, researchers have linked certain diseases and some specific genetic changes that damage the kidneys with primary childhood nephrotic syndrome.
                
The cause of secondary childhood nephrotic syndrome is an underlying disease or infection. Called a primary illness, its this underlying disease or infection that causes changes in the kidney function that can result in secondary childhood nephrotic syndrome.
                
Congenital diseasesdiseases that are present at birthcan also cause childhood nephrotic syndrome.
                
Primary Childhood Nephrotic Syndrome
                
The following diseases are different types of idiopathic childhood nephrotic syndrome:
                
- Minimal change disease involves damage to the glomeruli that can be seen only with an electron microscope. This type of microscope shows tiny details better than any other microscope. Scientists do not know the exact cause of minimal change disease. Minimal change disease is the most common cause of idiopathic childhood nephrotic syndrome.1  - Focal segmental glomerulosclerosis is scarring in scattered regions of the kidney:     - Focal means that only some of the glomeruli become scarred.    - Segmental means damage affects only part of an individual glomerulus.    - Membranoproliferative glomerulonephritis is a group of disorders involving deposits of antibodies that build up in the glomeruli, causing thickening and damage. Antibodies are proteins made by the immune system to protect the body from foreign substances such as bacteria or viruses.
                
Secondary Childhood Nephrotic Syndrome
                
Some common diseases that can cause secondary childhood nephrotic syndrome include
                
- diabetes, a condition that occurs when the body cannot use glucosea type of sugarnormally  - Henoch-Schnlein purpura, a disease that causes small blood vessels in the body to become inflamed and leak  - hepatitis, inflammation of the liver caused by a virus  - human immunodeficiency virus (HIV), a virus that alters the immune system  - lupus, an autoimmune disease that occurs when the body attacks its own immune system  - malaria, a disease of the blood that is spread by mosquitos  - streptococcal infection, an infection that results when the bacteria that causes strep throat or a skin infection is left untreated
                
Other causes of secondary childhood nephrotic syndrome can include certain medications, such as aspirin, ibuprofen, or other nonsteroidal anti-inflammatory drugs, and exposure to chemicals, such as mercury and lithium.
                
Congenital Diseases and Childhood Nephrotic Syndrome
                
Congenital nephrotic syndrome is rare and affects infants in the first 3 months of life.2 This type of nephrotic syndrome, sometimes called infantile nephrotic syndrome, can be caused by
                
- inherited genetic defects, which are problems passed from parent to child through genes  - infections at the time of birth
                
More information about underlying diseases or infections that cause changes in kidney function is provided in the NIDDK health topic, Glomerular Diseases.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""CNS"", ""full_form"": ""Childhood Nephrotic Syndrome""}]}",What causes CNS ?,What causes Childhood Nephrotic Syndrome ?
symptoms,What are the symptoms of Amyotonia congenita ?,"What are the signs and symptoms of Amyotonia congenita? The Human Phenotype Ontology provides the following list of signs and symptoms for Amyotonia congenita. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Autosomal recessive inheritance - Skeletal muscle atrophy - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""AC"", ""full_form"": ""Amyotonia congenita""}]}",What are the symptoms of AC ?,What are the symptoms of Amyotonia congenita ?
genetic changes,What are the genetic changes related to familial exudative vitreoretinopathy ?,"Mutations in the FZD4, LRP5, and NDP genes can cause familial exudative vitreoretinopathy. These genes provide instructions for making proteins that participate in a chemical signaling pathway that affects the way cells and tissues develop. In particular, the proteins produced from the FZD4, LRP5, and NDP genes appear to play critical roles in the specialization of retinal cells and the establishment of a blood supply to the retina and the inner ear. The LRP5 protein also helps regulate bone formation.  Mutations in the FZD4, LRP5, or NDP gene disrupt chemical signaling during early development, which interferes with the formation of blood vessels at the edges of the retina. The resulting abnormal blood supply to this tissue leads to retinal damage and vision loss in some people with familial exudative vitreoretinopathy.  The eye abnormalities associated with familial exudative vitreoretinopathy tend to be similar no matter which gene is altered. However, affected individuals with LRP5 gene mutations often have reduced bone mineral density in addition to vision loss. Mutations in the other genes responsible for familial exudative vitreoretinopathy do not appear to affect bone density.  In some cases, the cause of familial exudative vitreoretinopathy is unknown. Researchers believe that mutations in several as-yet-unidentified genes are responsible for the disorder in these cases.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""FEVR"", ""full_form"": ""familial exudative vitreoretinopathy""}]}",What are the genetic changes related to FEVR ?,What are the genetic changes related to familial exudative vitreoretinopathy ?
information,What is (are) Age-related Macular Degeneration ?,"Dry AMD has three stages -- early AMD, intermediate AMD, and advanced dry AMD. All of these may occur in one or both eyes. People with early dry AMD have either several small drusen or a few medium-sized drusen. Drusen are yellow deposits under the retina which often are found in people over age 50. People with early AMD have no symptoms and no vision loss. People with intermediate dry AMD have either many medium-sized drusen or one or more large drusen. Some people see a blurred spot in the center of their vision. More light may be needed for reading and other tasks. In addition to drusen, people with advanced dry AMD have a breakdown of light-sensitive cells and supporting tissue in the macula. This breakdown can cause a blurred spot in the center of your vision. Over time, the blurred spot may get bigger and darker, taking more of your central vision. You may have difficulty reading or recognizing faces until they are very close to you.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""AMD"", ""full_form"": ""Age-related Macular Degeneration""}]}",What is (are) AMD ?,What is (are) Age-related Macular Degeneration ?
frequency,How many people are affected by glycogen storage disease type IV ?,"GSD IV is estimated to occur in 1 in 600,000 to 800,000 individuals worldwide. Type IV accounts for roughly 3 percent of all cases of glycogen storage disease.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""GSD IV"", ""full_form"": ""glycogen storage disease type IV""}]}",How many people are affected by GSD IV ?,How many people are affected by glycogen storage disease type IV ?
exams and tests,How to diagnose Medium-chain acyl-coenzyme A dehydrogenase deficiency ?,"How is medium-chain acyl-coenzyme A dehydrogenase deficiency (MCADD) diagnosed? MCADD is now included in many newborn screening programs. If a newborn screening result for MCADD is not in the normal range, additional testing is recommended. A diagnosis of MCADD can be made through a blood test called a plasma acylcarnitine profile and an evaluation of organic acids in the urine. The diagnosis can also be confirmed by genetic testing.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""MCAD"", ""full_form"": ""Medium-chain acyl-coenzyme A dehydrogenase""}]}",How to diagnose MCAD deficiency ?,How to diagnose Medium-chain acyl-coenzyme A dehydrogenase deficiency ?
treatment,What are the treatments for Lafora progressive myoclonus epilepsy ?,"These resources address the diagnosis or management of Lafora progressive myoclonus epilepsy:  - Gene Review: Gene Review: Progressive Myoclonus Epilepsy, Lafora Type  - Genetic Testing Registry: Lafora disease  - MedlinePlus Encyclopedia: Epilepsy  - MedlinePlus Encyclopedia:Generalized Tonic-Clonic Seizure   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""Lafora"", ""full_form"": ""Lafora progressive myoclonus epilepsy""}]}",What are the treatments for Lafora ?,What are the treatments for Lafora progressive myoclonus epilepsy ?
outlook,What is the outlook for Congenital Myopathy ?,"When breathing difficulties are severe, and particularly if there is also a problem with feeding and swallowing, infants may die of respiratory failure or complications such as pneumonia. Sometimes muscle weakness can lead to skeletal problems, such as scoliosis, reduced mobility of joints, or hip problems. The heart muscle is rarely involved.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""CM"", ""full_form"": ""Congenital Myopathy""}]}",What is the outlook for CM ?,What is the outlook for Congenital Myopathy ?
inheritance,Is autosomal recessive spastic ataxia of Charlevoix-Saguenay inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""ARSACS"", ""full_form"": ""autosomal recessive spastic ataxia of Charlevoix-Saguenay""}]}",Is ARSACS inherited ?,Is autosomal recessive spastic ataxia of Charlevoix-Saguenay inherited ?
information,Do you have information about HIV/AIDS in Women,"Summary : HIV, the human immunodeficiency virus, kills or damages cells of the body's immune system. The most advanced stage of infection with HIV is AIDS, which stands for acquired immunodeficiency syndrome.     HIV often spreads through unprotected sex with an infected person. It may also spread by sharing drug needles or through contact with the blood of an infected person.    Women can get HIV more easily during vaginal sex than men can. And if they do get HIV, they have unique problems, including:       - Complications such as repeated vaginal yeast infections, severe pelvic inflammatory disease (PID), and a higher risk of cervical cancer    - Different side effects from the drugs that treat HIV    - The risk of giving HIV to their baby while pregnant or during childbirth       There is no cure, but there are many medicines to fight both HIV infection and the infections and cancers that come with it. People can live with the disease for many years.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""HIV"", ""full_form"": ""Human Immunodeficiency Virus""}, {""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""AIDS"", ""full_form"": ""Acquired Immunodeficiency Syndrome""}]}",Do you have information about HIV/AIDS in Women,Do you have information about Human Immunodeficiency Virus/Acquired Immunodeficiency Syndrome in Women
information,What is (are) ARDS ?,"ARDS, or acute respiratory distress syndrome, is a lung condition that leads to low oxygen levels in the blood. ARDS can be life threatening because your body's organs need oxygen-rich blood to work well.
                
People who develop ARDS often are very ill with another disease or have major injuries. They might already be in the hospital when they develop ARDS.
                
Overview
                
To understand ARDS, it helps to understand how the lungs work. When you breathe, air passes through your nose and mouth into your windpipe. The air then travels to your lungs' air sacs. These sacs are called alveoli (al-VEE-uhl-eye).
                
Small blood vessels called capillaries (KAP-ih-lare-ees) run through the walls of the air sacs. Oxygen passes from the air sacs into the capillaries and then into the bloodstream. Blood carries the oxygen to all parts of the body, including the body's organs.
                
In ARDS, infections, injuries, or other conditions cause fluid to build up in the air sacs. This prevents the lungs from filling with air and moving enough oxygen into the bloodstream.
                
As a result, the body's organs (such as the kidneys and brain) don't get the oxygen they need. Without oxygen, the organs may not work well or at all.
                
People who develop ARDS often are in the hospital for other serious health problems. Rarely, people who aren't hospitalized have health problems that lead to ARDS, such as severe pneumonia.
                
If you have trouble breathing, call your doctor right away. If you have severe shortness of breath, call 911.
                
Outlook
                
More people are surviving ARDS now than in the past. One likely reason for this is that treatment and care for the condition have improved. Survival rates for ARDS vary depending on age, the underlying cause of ARDS, associated illnesses, and other factors.
                
Some people who survive recover completely. Others may have lasting damage to their lungs and other health problems.
                
Researchers continue to look for new and better ways to treat ARDS.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""ARDS"", ""full_form"": ""Acute Respiratory Distress Syndrome""}]}",What is (are) ARDS ?,What is (are) Acute Respiratory Distress Syndrome ?
information,What is (are) Antiphospholipid Antibody Syndrome ?,"Antiphospholipid (AN-te-fos-fo-LIP-id) antibody syndrome (APS) is an autoimmune disorder. Autoimmune disorders occur if the body's immune system makes antibodies that attack and damage tissues or cells.
                
Antibodies are a type of protein. They usually help defend the body against infections. In APS, however, the body makes antibodies that mistakenly attack phospholipidsa type of fat.
                
Phospholipids are found in all living cells and cell membranes, including blood cells and the lining of blood vessels.
                
When antibodies attack phospholipids, cells are damaged. This damage causes blood clots to form in the body's arteries and veins. (These are the vessels that carry blood to your heart and body.)
                
Usually, blood clotting is a normal bodily process. Blood clots help seal small cuts or breaks on blood vessel walls. This prevents you from losing too much blood. In APS, however, too much blood clotting can block blood flow and damage the body's organs.
                
Overview
                
Some people have APS antibodies, but don't ever have signs or symptoms of the disorder. Having APS antibodies doesn't mean that you have APS. To be diagnosed with APS, you must have APS antibodies and a history of health problems related to the disorder.
                
APS can lead to many health problems, such as stroke, heart attack, kidney damage, deep vein thrombosis (throm-BO-sis), and pulmonary embolism (PULL-mun-ary EM-bo-lizm).
                
APS also can cause pregnancy-related problems, such as multiple miscarriages, a miscarriage late in pregnancy, or a premature birth due to eclampsia (ek-LAMP-se-ah). (Eclampsia, which follows preeclampsia, is a serious condition that causes seizures in pregnant women.)
                
Very rarely, some people who have APS develop many blood clots within weeks or months. This condition is called catastrophic antiphospholipid syndrome (CAPS).
                
People who have APS also are at higher risk for thrombocytopenia (THROM-bo-si-to-PE-ne-ah). This is a condition in which your blood has a lower than normal number of blood cell fragments called platelets (PLATE-lets). Antibodies destroy the platelets, or theyre used up during the clotting process. Mild to serious bleeding can occur with thrombocytopenia.
                
APS can be fatal. Death may occur as a result of large blood clots or blood clots in the heart, lungs, or brain.
                
Outlook
                
APS can affect people of any age. However, it's more common in women and people who have other autoimmune or rheumatic (ru-MAT-ik) disorders, such as lupus. (""Rheumatic"" refers to disorders that affect the joints, bones, or muscles.)
                
APS has no cure, but medicines can help prevent its complications. Medicines are used to stop blood clots from forming. They also are used to keep existing clots from getting larger. Treatment for APS is long term.
                
If you have APS and another autoimmune disorder, it's important to control that condition as well. When the other condition is controlled, APS may cause fewer problems.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""APS"", ""full_form"": ""Antiphospholipid Antibody Syndrome""}]}",What is (are) APS ?,What is (are) Antiphospholipid Antibody Syndrome ?
inheritance,Is Shwachman-Diamond syndrome inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""SDS"", ""full_form"": ""Shwachman-Diamond syndrome""}]}",Is SDS inherited ?,Is Shwachman-Diamond syndrome inherited ?
frequency,How many people are affected by benign recurrent intrahepatic cholestasis ?,"BRIC is a rare disorder. Although the prevalence is unknown, this condition is less common than the related disorder PFIC, which affects approximately 1 in 50,000 to 100,000 people worldwide.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""BRIC"", ""full_form"": ""benign recurrent intrahepatic cholestasis""}]}",How many people are affected by BRIC ?,How many people are affected by benign recurrent intrahepatic cholestasis ?
treatment,What are the treatments for adult-onset leukoencephalopathy with axonal spheroids and pigmented glia ?,These resources address the diagnosis or management of ALSP:  - Gene Review: Gene Review: Adult-Onset Leukoencephalopathy with Axonal Spheroids and Pigmented Glia  - Genetic Testing Registry: Hereditary diffuse leukoencephalopathy with spheroids  - MedlinePlus Encyclopedia: Dementia   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,"{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""ALSP"", ""full_form"": ""adult-onset leukoencephalopathy with axonal spheroids and pigmented glia""}]}",What are the treatments for ALSP ?,What are the treatments for adult-onset leukoencephalopathy with axonal spheroids and pigmented glia ?
frequency,How many people are affected by primary macronodular adrenal hyperplasia ?,"PMAH is a rare disorder. It is present in less than 1 percent of cases of endogenous Cushing syndrome, which describes forms of Cushing syndrome caused by factors internal to the body rather than by external factors such as long-term use of certain medicines called corticosteroids. The prevalence of endogenous Cushing syndrome is about 1 in 26,000 people.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""PMAH"", ""full_form"": ""primary macronodular adrenal hyperplasia""}]}",How many people are affected by PMAH ?,How many people are affected by primary macronodular adrenal hyperplasia ?
information,What is (are) Chronic active Epstein-Barr virus infection ?,"Chronic active Epstein-Barr virus infection is a rare condition in which the body makes too many lymphocytes, a type of white blood cell. Lymphocytes are an important part of the immune system because they help fight off diseases and protect the body from infection. About 95% of adults are infected with Epstein-Barr virus (EBV). Most infections occur during childhood and do not cause any symptoms. EBV infection in adolescents or young adults can often result in infectious mononucleosis.  Rarely, people infected with EBV develop a life-threatening condition called chronic active EBV virus (CAEBV). Patients with CAEBV most often have fever, liver dysfunction, an enlarged spleen (splenomegaly), swollen lymph nodes (lymphadenopathy), and low numbers of platelets (thrombocytopenia). Hematopoietic stem cell transplantation has shown promise in the treatment of CAEBV.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""EBV"", ""full_form"": ""Epstein-Barr virus""}]}",What is (are) Chronic active EBV infection ?,What is (are) Chronic active Epstein-Barr virus infection ?
frequency,How many people are affected by antiphospholipid syndrome ?,"The exact prevalence of antiphospholipid syndrome is unknown. This condition is thought to be fairly common, and may be responsible for up to one percent of all thromboses. It is estimated that 20 percent of individuals younger than age 50 who have a stroke have antiphospholipid syndrome. Ten to 15 percent of people with systemic lupus erythematosus have antiphospholipid syndrome. Similarly, 10 to 15 percent of women with recurrent miscarriages likely have this condition. Approximately 70 percent of individuals diagnosed with antiphospholipid syndrome are female.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""APS"", ""full_form"": ""antiphospholipid syndrome""}]}",How many people are affected by APS ?,How many people are affected by antiphospholipid syndrome ?
treatment,What are the treatments for Mitral Valve Prolapse ?,"Most people who have mitral valve prolapse (MVP) dont need treatment because they dont have symptoms and complications.
                
Even people who do have symptoms may not need treatment. The presence of symptoms doesnt always mean that the backflow of blood through the valve is significant.
                
People who have MVP and troublesome mitral valve backflow may be treated with medicines, surgery, or both.
                
The goals of treating MVP include:
                
Correcting the underlying mitral valve problem, if necessary
                
Preventinginfective endocarditis,arrhythmias, and other complications
                
Relieving symptoms
                
Medicines
                
Medicines called beta blockers may be used to treatpalpitationsand chest discomfort in people who have little or no mitral valve backflow.
                
If you have significant backflow and symptoms, your doctor may prescribe:
                
Blood-thinning medicines to reduce the risk of blood clots forming if you haveatrial fibrillation.
                
Digoxin to strengthen your heartbeat.
                
Diuretics (fluidpills) to remove excess sodium and fluid in your body and lungs.
                
Medicines such as flecainide and procainamide to regulate your heart rhythms.
                
Vasodilators to widen your blood vessels and reduce your hearts workload. Examples of vasodilators are isosorbide dinitrate and hydralazine.
                
Take all medicines regularly, as your doctor prescribes. Dont change the amount of your medicine or skip a dose unless your doctor tells you to.
                
Surgery
                
Surgery is done only if the mitral valve is very abnormal and blood is flowing back into the atrium. The main goal of surgery is to improve symptoms and reduce the risk ofheart failure.
                
The timing of the surgery is important. If its done too early and your leaking valve is working fairly well, you may be put at needless risk from surgery. If its done too late, you may have heart damage that can't be fixed.
                
Surgical Approaches
                
Traditionally, heart surgeons repair or replace a mitral valve by making an incision (cut) in the breastbone and exposing the heart.
                
A small but growing number of surgeons are using another approach that involves one or more small cuts through the side of the chest wall. This results in less cutting, reduced blood loss, and a shorter hospital stay. However, not all hospitals offer this method.
                
Valve Repair and Valve Replacement
                
In mitral valve surgery, the valve is repaired or replaced. Valve repair is preferred when possible. Repair is less likely than replacement to weaken the heart. Repair also lowers the risk of infection and decreases the need for lifelong use of blood-thinning medicines.
                
If repair isnt an option, the valve can be replaced. Mechanical and biological valves are used as replacement valves.
                
Mechanical valves are man-made and can last a lifetime. People who have mechanical valves must take blood-thinning medicines for the rest of their lives.
                
Biological valves are taken from cows or pigs or made from human tissue. Many people who have biological valves dont need to take blood-thinning medicines for the rest of their lives. The major drawback of biological valves is that they weaken over time and often last only about 10 years.
                
After surgery, youll likely stay in the hospitals intensive care unit for 2 to 3 days. Overall, most people who have mitral valve surgery spend about 1 to 2 weeks in the hospital. Complete recovery takes a few weeks to several months, depending on your health before surgery.
                
If youve had valve repair or replacement, you may need antibiotics before dental work and surgery. These procedures can allow bacteria to enter your bloodstream. Antibiotics can help prevent infective endocarditis, a serious heart valve infection. Discuss with your doctor whether you need to take antibiotics before such procedures.
                
Transcatheter Valve Therapy
                
Interventional cardiologists may be able to repair leaky mitral valves by implanting a device using a catheter (tube) inserted through a large blood vessel. This approach is less invasive and can prevent a person from havingopen-heart surgery. At present, the device is only approved for people with severe mitral regurgitation who cannot undergo surgery.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""MVP"", ""full_form"": ""Mitral Valve Prolapse""}]}",What are the treatments for MVP ?,What are the treatments for Mitral Valve Prolapse ?
symptoms,What are the symptoms of Adult neuronal ceroid lipofuscinosis ?,"What are the signs and symptoms of Adult neuronal ceroid lipofuscinosis? The Human Phenotype Ontology provides the following list of signs and symptoms for Adult neuronal ceroid lipofuscinosis. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormal pyramidal signs 90% Abnormality of extrapyramidal motor function 90% Behavioral abnormality 90% Developmental regression 90% Incoordination 90% Involuntary movements 90% Seizures 90% Retinopathy 7.5% Visual impairment 7.5% The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""ANCL"", ""full_form"": ""Adult neuronal ceroid lipofuscinosis""}]}",What are the symptoms of ANCL ?,What are the symptoms of Adult neuronal ceroid lipofuscinosis ?
complications,What are the complications of Crohn's Disease ?,"Complications of Crohn's disease can include
                
- bowel obstruction. Crohn's disease can thicken the wall of the intestine. Over time, the thickened areas of the intestine can narrow, which can block the intestine. A partial or complete obstruction, also called a bowel blockage, can block the movement of food or stool through the intestines. A complete bowel obstruction is life threatening and requires immediate medical attention and often surgery.  - fistulasabnormal passages, or tunnels, between two organs, or between an organ and the outside of the body. How a health care provider treats fistulas depends on their type and severity. For some people, fistulas heal with medication and diet changes, while other people will need to have surgery.  - anal fissuressmall tears in the anus that may cause itching, pain, or bleeding. Most anal fissures heal with medical treatment, including ointments, warm baths, and dietary changes.  - ulcers. Inflammation anywhere along the GI tract can lead to ulcers or open sores in a person's mouth, intestines, anus, and perineumthe area between the anus and the sex organs. In most cases, the treatment a health care provider prescribes for Crohn's disease will also treat the ulcers.  - malnutritiona condition that develops when the body does not get the right amount of vitamins, minerals, and nutrients it needs to maintain healthy tissues and organ function. Some people may need IV fluids or feeding tubes to replace lost nutrients and fluids.  - inflammation in other areas of the body. The immune system can trigger inflammation in the      - joints    - eyes    - skin
                
Health care providers can treat inflammation by adjusting medications or prescribing new medications.
                

                
Crohn's Disease and Colon Cancer   People with Crohn's disease in the large intestine may be more likely to develop colon cancer. People who receive ongoing treatment and remain in remission may reduce their chances of developing colon cancer.   People with Crohn's disease should talk with their health care provider about how often they should get screened for colon cancer. Screening can include colonoscopy with biopsies. Such screening does not reduce a person's chances of developing colon cancer. Instead, screening can help diagnose cancer early and improve chances for recovery.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""CD"", ""full_form"": ""Crohn's Disease""}]}",What are the complications of CD ?,What are the complications of Crohn's Disease ?
inheritance,Is core binding factor acute myeloid leukemia inherited ?,CBF-AML is not inherited but arises from genetic rearrangements in the body's cells that occur after conception.,"{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""CBF-AML"", ""full_form"": ""core binding factor acute myeloid leukemia""}]}",Is CBF-AML inherited ?,Is core binding factor acute myeloid leukemia inherited ?
