,qtype,question,valid,answer,possible_ambiguities,ambiguous_question,unambiguous_question,ambiguous_question_answered_by_gpt4,unambiguous_question_answered_by_gpt4,answers,ambiguous_question_answered_correct_by_gpt4,unambiguous_question_answered_correct_by_gpt4
120,information,What is (are) West Nile Virus ?,1,"West Nile virus (WNV) is an infectious disease that first appeared in the United States in 1999. Infected mosquitoes spread the virus that causes it. People who get WNV usually have no symptoms or mild symptoms. The symptoms include a fever, headache, body aches, skin rash, and swollen lymph glands. They can last a few days to several weeks, and usually go away on their own.    If West Nile virus enters the brain, however, it can be life-threatening. It may cause inflammation of the brain, called encephalitis, or inflammation of the tissue that surrounds the brain and spinal cord, called meningitis. A physical exam, health history and laboratory tests can diagnose it.    Older people and those with weakened immune systems are most at risk. There are no specific vaccines or treatments for human WNV disease. The best way to avoid WNV is to prevent mosquito bites:       - Use insect repellent    - Get rid of mosquito breeding sites by emptying standing water from flower pots, buckets or barrels    - Stay indoors between dusk and dawn, when mosquitoes are most active    - Use screens on windows to keep mosquitoes out       NIH: National Institute of Allergy and Infectious Diseases","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""WNV"", ""full_form"": ""West Nile Virus""}]}",What is (are) WNV ?,What is (are) West Nile Virus ?,West Nile Virus,"West Nile Virus is a virus that is transmitted to humans through the bite of an infected mosquito, causing West Nile fever or severe West Nile disease.","['West Nile virus (WNV) is an infectious disease that first appeared in the United States in 1999. Infected mosquitoes spread the virus that causes it. People who get WNV usually have no symptoms or mild symptoms. The symptoms include a fever, headache, body aches, skin rash, and swollen lymph glands. They can last a few days to several weeks, and usually go away on their own.    If West Nile virus enters the brain, however, it can be life-threatening. It may cause inflammation of the brain, called encephalitis, or inflammation of the tissue that surrounds the brain and spinal cord, called meningitis. A physical exam, health history and laboratory tests can diagnose it.    Older people and those with weakened immune systems are most at risk. There are no specific vaccines or treatments for human WNV disease. The best way to avoid WNV is to prevent mosquito bites:       - Use insect repellent    - Get rid of mosquito breeding sites by emptying standing water from flower pots, buckets or barrels    - Stay indoors between dusk and dawn, when mosquitoes are most active    - Use screens on windows to keep mosquitoes out       NIH: National Institute of Allergy and Infectious Diseases']",,True
121,treatment,What are the treatments for spastic paraplegia type 3A ?,1,"These resources address the diagnosis or management of spastic paraplegia type 3A:  - Gene Review: Gene Review: Hereditary Spastic Paraplegia Overview  - Gene Review: Gene Review: Spastic Paraplegia 3A  - Genetic Testing Registry: Spastic paraplegia 3  - Spastic Paraplegia Foundation, Inc.: Treatments and Therapies   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""SPG3A"", ""full_form"": "" spastic paraplegia type 3A""}]}",What are the treatments forSPG3A ?,What are the treatments for spastic paraplegia type 3A ?,"Treatments for SPG3A, a form of hereditary spastic paraplegia, primarily focus on symptom management. This can include physical therapy, medications to manage muscle spasticity and pain, and in some cases, orthopedic surgeries or assistive devices for mobility.","There is no cure for spastic paraplegia type 3A, but treatments can help manage symptoms. These may include physical therapy, medications to reduce muscle stiffness and spasms, orthotic devices, and possibly surgery to manage complications.","['These resources address the diagnosis or management of spastic paraplegia type 3A:  - Gene Review: Gene Review: Hereditary Spastic Paraplegia Overview  - Gene Review: Gene Review: Spastic Paraplegia 3A  - Genetic Testing Registry: Spastic paraplegia 3  - Spastic Paraplegia Foundation, Inc.: Treatments and Therapies   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care']",True,True
122,symptoms,What are the symptoms of Brachydactyly type A5 ?,0,"What are the signs and symptoms of Brachydactyly type A5? The Human Phenotype Ontology provides the following list of signs and symptoms for Brachydactyly type A5. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the metacarpal bones 90% Anonychia 90% Aplasia/Hypoplasia of the distal phalanges of the toes 90% Brachydactyly syndrome 90% Proximal placement of thumb 90% Short distal phalanx of finger 90% Short toe 90% Abnormality of thumb phalanx 7.5% Finger syndactyly 7.5% Preaxial foot polydactyly 7.5% Symphalangism affecting the phalanges of the hand 7.5% Synostosis of carpal bones 7.5% The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""A5"", ""full_form"": ""Brachydactyly type A5""}]}",,,,,,,
123,complications,What are the complications of Anemia in Chronic Kidney Disease ?,1,"Heart problems are a complication of anemia and may include
                
- an irregular heartbeat or an unusually fast heartbeat, especially when exercising.  - the harmful enlargement of muscles in the heart.  - heart failure, which does not mean the heart suddenly stops working. Instead, heart failure is a long-lasting condition in which the heart cant pump enough blood to meet the bodys needs.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""CKD"", ""full_form"": ""Chronic Kidney Disease""}]}",What are the complications of Anemia in CKD ?,What are the complications of Anemia in Chronic Kidney Disease ?,"Complications of anemia in chronic kidney disease (CKD) include increased risk of cardiovascular disease, heart failure, cognitive impairment, decreased quality of life, and increased mortality.","Complications of anemia in chronic kidney disease include fatigue, heart problems (such as heart failure and irregular heartbeats), and increased risk of hospitalization and death.","['Heart problems are a complication of anemia and may include\n                \n- an irregular heartbeat or an unusually fast heartbeat, especially when exercising.  - the harmful enlargement of muscles in the heart.  - heart failure, which does not mean the heart suddenly stops working. Instead, heart failure is a long-lasting condition in which the heart cant pump enough blood to meet the bodys needs.']",,True
124,information,What is (are) frontotemporal dementia with parkinsonism-17 ?,1,"Frontotemporal dementia with parkinsonism-17 (FTDP-17) is a progressive brain disorder that affects behavior, language, and movement. The symptoms of this disorder usually become noticeable in a person's forties or fifties. Most affected people survive 5 to 10 years after the appearance of symptoms, although a few have survived for two decades or more.  Changes in personality and behavior are often early signs of FTDP-17. These changes include a loss of inhibition, inappropriate emotional responses, restlessness, neglect of personal hygiene, and a general loss of interest in activities and events. The disease also leads to deterioration of cognitive functions (dementia), including problems with judgment, planning, and concentration. Some people with FTDP-17 develop psychiatric symptoms, including obsessive-compulsive behaviors, delusions, and hallucinations. It may become difficult for affected individuals to interact with others in a socially appropriate manner. They increasingly require help with personal care and other activities of daily living.  Many people with FTDP-17 develop problems with speech and language. They may have trouble finding words, confuse one word with another (semantic paraphasias), and repeat words spoken by others (echolalia). Difficulties with speech and language worsen over time, and most affected individuals eventually lose the ability to communicate.  FTDP-17 is also characterized by progressive problems with movement. Many affected individuals develop features of parkinsonism, including tremors, rigidity, and unusually slow movement (bradykinesia). As the disease progresses, most affected individuals become unable to walk. Some people with FTDP-17 also have restricted up-and-down eye movement (vertical gaze palsy) and rapid abnormal movements of both eyes (saccades).","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""FTDP-17"", ""full_form"": ""frontotemporal dementia with parkinsonism-17""}]}",What is (are) FTDP-17 ?,What is (are) frontotemporal dementia with parkinsonism-17 ?,"FTDP-17 (Frontotemporal Dementia and Parkinsonism linked to chromosome 17) is a genetic disorder associated with tau protein mutations, leading to frontotemporal dementia and parkinsonism.","Frontotemporal dementia with parkinsonism-17 is a genetic disorder characterized by progressive deterioration of the frontal and temporal lobes of the brain, leading to changes in personality, behavior, and language, along with symptoms of parkinsonism such as tremors and rigidity. It is linked to mutations in the MAPT gene that encodes the tau protein.","[""Frontotemporal dementia with parkinsonism-17 (FTDP-17) is a progressive brain disorder that affects behavior, language, and movement. The symptoms of this disorder usually become noticeable in a person's forties or fifties. Most affected people survive 5 to 10 years after the appearance of symptoms, although a few have survived for two decades or more.  Changes in personality and behavior are often early signs of FTDP-17. These changes include a loss of inhibition, inappropriate emotional responses, restlessness, neglect of personal hygiene, and a general loss of interest in activities and events. The disease also leads to deterioration of cognitive functions (dementia), including problems with judgment, planning, and concentration. Some people with FTDP-17 develop psychiatric symptoms, including obsessive-compulsive behaviors, delusions, and hallucinations. It may become difficult for affected individuals to interact with others in a socially appropriate manner. They increasingly require help with personal care and other activities of daily living.  Many people with FTDP-17 develop problems with speech and language. They may have trouble finding words, confuse one word with another (semantic paraphasias), and repeat words spoken by others (echolalia). Difficulties with speech and language worsen over time, and most affected individuals eventually lose the ability to communicate.  FTDP-17 is also characterized by progressive problems with movement. Many affected individuals develop features of parkinsonism, including tremors, rigidity, and unusually slow movement (bradykinesia). As the disease progresses, most affected individuals become unable to walk. Some people with FTDP-17 also have restricted up-and-down eye movement (vertical gaze palsy) and rapid abnormal movements of both eyes (saccades).""]",True,True
125,information,What is (are) McLeod neuroacanthocytosis syndrome ?,1,"McLeod neuroacanthocytosis syndrome is primarily a neurological disorder that occurs almost exclusively in boys and men. This disorder affects movement in many parts of the body. People with McLeod neuroacanthocytosis syndrome also have abnormal star-shaped red blood cells (acanthocytosis). This condition is one of a group of disorders called neuroacanthocytoses that involve neurological problems and abnormal red blood cells.  McLeod neuroacanthocytosis syndrome affects the brain and spinal cord (central nervous system). Affected individuals have involuntary movements, including jerking motions (chorea), particularly of the arms and legs, and muscle tensing (dystonia) in the face and throat, which can cause grimacing and vocal tics (such as grunting and clicking noises). Dystonia of the tongue can lead to swallowing difficulties. Seizures occur in approximately half of all people with McLeod neuroacanthocytosis syndrome. Individuals with this condition may develop difficulty processing, learning, and remembering information (cognitive impairment). They may also develop psychiatric disorders, such as depression, bipolar disorder, psychosis, or obsessive-compulsive disorder.  People with McLeod neuroacanthocytosis syndrome also have problems with their muscles, including muscle weakness (myopathy) and muscle degeneration (atrophy). Sometimes, nerves that connect to muscles atrophy (neurogenic atrophy), leading to loss of muscle mass and impaired movement. Individuals with McLeod neuroacanthocytosis syndrome may also have reduced sensation and weakness in their arms and legs (peripheral neuropathy). Life-threatening heart problems such as irregular heartbeats (arrhythmia) and a weakened and enlarged heart (dilated cardiomyopathy) are common in individuals with this disorder.  The signs and symptoms of McLeod neuroacanthocytosis syndrome usually begin in mid-adulthood. Behavioral changes, such as lack of self-restraint, the inability to take care of oneself, anxiety, depression, and changes in personality may be the first signs of this condition. While these behavioral changes are typically not progressive, the movement and muscle problems and intellectual impairments tend to worsen with age.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""MLS"", ""full_form"": ""McLeod neuroacanthocytosis syndrome""}]}",What is (are) MLS ?,What is (are) McLeod neuroacanthocytosis syndrome ?,"MLS stands for Major League Soccer, which is a professional soccer league sanctioned by the United States Soccer Federation and represents the sport's highest level in the United States and Canada. MLS can also refer to Multiple Listing Service, a comprehensive system used by real estate brokers to share information about properties for sale.","McLeod neuroacanthocytosis syndrome is a rare, genetic, multisystem disorder characterized by abnormalities in the nervous system and the blood. It involves neurological complications, muscle wasting, movement disorders, and acanthocytes in the blood.","['McLeod neuroacanthocytosis syndrome is primarily a neurological disorder that occurs almost exclusively in boys and men. This disorder affects movement in many parts of the body. People with McLeod neuroacanthocytosis syndrome also have abnormal star-shaped red blood cells (acanthocytosis). This condition is one of a group of disorders called neuroacanthocytoses that involve neurological problems and abnormal red blood cells.  McLeod neuroacanthocytosis syndrome affects the brain and spinal cord (central nervous system). Affected individuals have involuntary movements, including jerking motions (chorea), particularly of the arms and legs, and muscle tensing (dystonia) in the face and throat, which can cause grimacing and vocal tics (such as grunting and clicking noises). Dystonia of the tongue can lead to swallowing difficulties. Seizures occur in approximately half of all people with McLeod neuroacanthocytosis syndrome. Individuals with this condition may develop difficulty processing, learning, and remembering information (cognitive impairment). They may also develop psychiatric disorders, such as depression, bipolar disorder, psychosis, or obsessive-compulsive disorder.  People with McLeod neuroacanthocytosis syndrome also have problems with their muscles, including muscle weakness (myopathy) and muscle degeneration (atrophy). Sometimes, nerves that connect to muscles atrophy (neurogenic atrophy), leading to loss of muscle mass and impaired movement. Individuals with McLeod neuroacanthocytosis syndrome may also have reduced sensation and weakness in their arms and legs (peripheral neuropathy). Life-threatening heart problems such as irregular heartbeats (arrhythmia) and a weakened and enlarged heart (dilated cardiomyopathy) are common in individuals with this disorder.  The signs and symptoms of McLeod neuroacanthocytosis syndrome usually begin in mid-adulthood. Behavioral changes, such as lack of self-restraint, the inability to take care of oneself, anxiety, depression, and changes in personality may be the first signs of this condition. While these behavioral changes are typically not progressive, the movement and muscle problems and intellectual impairments tend to worsen with age.']",,True
126,symptoms,What are the symptoms of GM1 gangliosidosis type 1 ?,0,"What are the signs and symptoms of GM1 gangliosidosis type 1? The Human Phenotype Ontology provides the following list of signs and symptoms for GM1 gangliosidosis type 1. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Cherry red spot of the macula 50% Abnormality of the heart valves - Abnormality of the urinary system - Angiokeratoma corporis diffusum - Autosomal recessive inheritance - Beaking of vertebral bodies - Cerebral degeneration - Coarse facial features - Congestive heart failure - Death in infancy - Decreased beta-galactosidase activity - Depressed nasal ridge - Dilated cardiomyopathy - Frontal bossing - Gingival overgrowth - Hepatomegaly - Hypertelorism - Hypertrichosis - Hypertrophic cardiomyopathy - Hypoplastic vertebral bodies - Inguinal hernia - Intellectual disability - Joint stiffness - Kyphosis - Scoliosis - Severe short stature - Short neck - Splenomegaly - Thickened ribs - Vacuolated lymphocytes - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""GM1"", ""full_form"": ""Gangliosidosis type 1""}]}",,,,,,,
127,information,What is (are) Emanuel syndrome ?,0,"Emanuel syndrome is a chromosomal disorder that disrupts normal development and affects many parts of the body. Infants with Emanuel syndrome have weak muscle tone (hypotonia) and fail to gain weight and grow at the expected rate (failure to thrive). Their development is significantly delayed, and most affected individuals have severe to profound intellectual disability.  Other features of Emanuel syndrome include an unusually small head (microcephaly), distinctive facial features, and a small lower jaw (micrognathia). Ear abnormalities are common, including small holes in the skin just in front of the ears (preauricular pits or sinuses). About half of all affected infants are born with an opening in the roof of the mouth (cleft palate) or a high arched palate. Males with Emanuel syndrome often have genital abnormalities. Additional signs of this condition can include heart defects and absent or unusually small (hypoplastic) kidneys; these problems can be life-threatening in infancy or childhood.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""ES"", ""full_form"": ""Emanuel syndrome""}]}",,,,,,,
128,information,What is (are) Tumor necrosis factor receptor-associated periodic syndrome ?,1,"Tumor necrosis factor receptor-associated periodic syndrome (TRAPS) is an inherited condition characterized by recurrent episodes of fever. Episodes can begin at any age but most often begin in early childhood. Fevers typically last about 3 weeks but can last from a few days to a few months. The amount of time between episodes may vary from weeks to years. Episodes usually occur spontaneously, but are sometimes brought on by a variety of triggers (such as injury, infection, or stress). Symptoms during fever episodes may include abdominal, muscle or joint pains; skin rashes (usually on the limbs); puffiness around the eyes; and inflammation in various areas of the body. Some people develop amyloidosis. TRAPS is caused by mutations in the TNFRSF1A gene and is inherited in an autosomal dominant manner. Treatment may include systemic corticosteroids at the beginning of an episode to reduce its severity and duration.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""TRAPS"", ""full_form"": ""Tumor necrosis factor receptor-associated periodic syndrome""}]}",What is (are) TRAPS ?,What is (are) Tumor necrosis factor receptor-associated periodic syndrome ?,"TRAPS, or TNF Receptor Associated Periodic Syndrome, is a rare genetic disorder characterized by recurrent episodes of fever, abdominal pain, chest pain, rash, and muscle pain.","Tumor necrosis factor receptor-associated periodic syndrome (TRAPS) is a rare genetic disorder characterized by recurrent episodes of fever, abdominal pain, inflammation, and skin rashes.","['Tumor necrosis factor receptor-associated periodic syndrome (TRAPS) is an inherited condition characterized by recurrent episodes of fever. Episodes can begin at any age but most often begin in early childhood. Fevers typically last about 3 weeks but can last from a few days to a few months. The amount of time between episodes may vary from weeks to years. Episodes usually occur spontaneously, but are sometimes brought on by a variety of triggers (such as injury, infection, or stress). Symptoms during fever episodes may include abdominal, muscle or joint pains; skin rashes (usually on the limbs); puffiness around the eyes; and inflammation in various areas of the body. Some people develop amyloidosis. TRAPS is caused by mutations in the TNFRSF1A gene and is inherited in an autosomal dominant manner. Treatment may include systemic corticosteroids at the beginning of an episode to reduce its severity and duration.']",True,True
129,symptoms,What are the symptoms of Congenital generalized lipodystrophy type 4 ?,1,"What are the signs and symptoms of Congenital generalized lipodystrophy type 4? The Human Phenotype Ontology provides the following list of signs and symptoms for Congenital generalized lipodystrophy type 4. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Hirsutism 5% Acanthosis nigricans - Autosomal recessive inheritance - Bradycardia - Constipation - Dysphagia - Elevated hepatic transaminases - Elevated serum creatine phosphokinase - Exercise intolerance - Failure to thrive - Feeding difficulties - Flexion contracture - Generalized muscle weakness - Hepatic steatosis - Hepatomegaly - Hyperinsulinemia - Hyperlordosis - Hypertriglyceridemia - IgA deficiency - Ileus - Infantile onset - Insulin resistance - Lipodystrophy - Muscle mounding - Muscle stiffness - Muscular dystrophy - Myalgia - Osteopenia - Osteoporosis - Prolonged QT interval - Prominent umbilicus - Proximal muscle weakness - Pyloric stenosis - Recurrent infections - Scoliosis - Skeletal muscle hypertrophy - Spinal rigidity - Splenomegaly - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""CGL4"", ""full_form"": ""Congenital generalized lipodystrophy type 4""}]}",What are the symptoms of CGL4 ?,What are the symptoms of Congenital generalized lipodystrophy type 4 ?,"Symptoms of CGL4 include lipodystrophy (lack of body fat), muscle hypertrophy, acanthosis nigricans, hepatomegaly (enlarged liver), and early onset diabetes.","Symptoms of Congenital generalized lipodystrophy type 4 include a lack of body fat from birth, muscular appearance, acanthosis nigricans, enlarged liver, insulin resistance, and may include intellectual disability and skeletal abnormalities.","['What are the signs and symptoms of Congenital generalized lipodystrophy type 4? The Human Phenotype Ontology provides the following list of signs and symptoms for Congenital generalized lipodystrophy type 4. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Hirsutism 5% Acanthosis nigricans - Autosomal recessive inheritance - Bradycardia - Constipation - Dysphagia - Elevated hepatic transaminases - Elevated serum creatine phosphokinase - Exercise intolerance - Failure to thrive - Feeding difficulties - Flexion contracture - Generalized muscle weakness - Hepatic steatosis - Hepatomegaly - Hyperinsulinemia - Hyperlordosis - Hypertriglyceridemia - IgA deficiency - Ileus - Infantile onset - Insulin resistance - Lipodystrophy - Muscle mounding - Muscle stiffness - Muscular dystrophy - Myalgia - Osteopenia - Osteoporosis - Prolonged QT interval - Prominent umbilicus - Proximal muscle weakness - Pyloric stenosis - Recurrent infections - Scoliosis - Skeletal muscle hypertrophy - Spinal rigidity - Splenomegaly - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.']",True,True
130,inheritance,Is metachromatic leukodystrophy inherited ?,1,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""MLD"", ""full_form"": ""metachromatic leukodystrophy""}]}",Is MLD inherited ?,Is metachromatic leukodystrophy inherited ?,Yes,Yes,"['This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.']",,
131,information,What is (are) mitochondrial membrane protein-associated neurodegeneration ?,1,"Mitochondrial membrane protein-associated neurodegeneration (MPAN) is a disorder of the nervous system. The condition typically begins in childhood or early adulthood and worsens (progresses) over time.  MPAN commonly begins with difficulty walking. As the condition progresses, affected individuals usually develop other movement problems, including muscle stiffness (spasticity) and involuntary muscle cramping (dystonia). Many people with MPAN have a pattern of movement abnormalities known as parkinsonism. These abnormalities include unusually slow movement (bradykinesia), muscle rigidity, involuntary trembling (tremors), and an inability to hold the body upright and balanced (postural instability).  Other neurological problems that occur in individuals with MPAN include degeneration of the nerve cells that carry visual information from the eyes to the brain (optic atrophy), which can impair vision; problems with speech (dysarthria); difficulty swallowing (dysphagia); and, in later stages of the condition, an inability to control the bowels or the flow of urine (incontinence). Additionally, affected individuals may experience a loss of intellectual function (dementia) and psychiatric symptoms such as behavioral problems, mood swings, hyperactivity, and depression.  MPAN is characterized by an abnormal buildup of iron in certain regions of the brain. Because of these deposits, MPAN is considered part of a group of conditions known as neurodegeneration with brain iron accumulation (NBIA).","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""MPAN"", ""full_form"": ""mitochondrial membrane protein-associated neurodegeneration""}]}",What is (are) MPAN ?,What is (are) mitochondrial membrane protein-associated neurodegeneration ?,"MPAN stands for Meter Point Administration Number, which is a unique identifier for electricity supply points in the UK.","Mitochondrial membrane protein-associated neurodegeneration (MPAN) is a form of neurodegeneration with brain iron accumulation (NBIA), characterized by progressive problems with movement, cognition, and neuropsychiatric disturbances, often associated with iron accumulation in the brain.","['Mitochondrial membrane protein-associated neurodegeneration (MPAN) is a disorder of the nervous system. The condition typically begins in childhood or early adulthood and worsens (progresses) over time.  MPAN commonly begins with difficulty walking. As the condition progresses, affected individuals usually develop other movement problems, including muscle stiffness (spasticity) and involuntary muscle cramping (dystonia). Many people with MPAN have a pattern of movement abnormalities known as parkinsonism. These abnormalities include unusually slow movement (bradykinesia), muscle rigidity, involuntary trembling (tremors), and an inability to hold the body upright and balanced (postural instability).  Other neurological problems that occur in individuals with MPAN include degeneration of the nerve cells that carry visual information from the eyes to the brain (optic atrophy), which can impair vision; problems with speech (dysarthria); difficulty swallowing (dysphagia); and, in later stages of the condition, an inability to control the bowels or the flow of urine (incontinence). Additionally, affected individuals may experience a loss of intellectual function (dementia) and psychiatric symptoms such as behavioral problems, mood swings, hyperactivity, and depression.  MPAN is characterized by an abnormal buildup of iron in certain regions of the brain. Because of these deposits, MPAN is considered part of a group of conditions known as neurodegeneration with brain iron accumulation (NBIA).']",,True
132,symptoms,What are the symptoms of High molecular weight kininogen deficiency ?,1,"What are the signs and symptoms of High molecular weight kininogen deficiency? The Human Phenotype Ontology provides the following list of signs and symptoms for High molecular weight kininogen deficiency. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Autosomal recessive inheritance - Prolonged partial thromboplastin time - Reduced kininogen activity - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""HMWK"", ""full_form"": ""High molecular weight kininogen""}]}",What are the symptoms of HMWK deficiency ?,What are the symptoms of High molecular weight kininogen deficiency ?,"Symptoms of HMWK (High Molecular Weight Kininogen) deficiency can include prolonged bleeding time, increased bruising, and potentially increased risk of bleeding during surgery or trauma. However, many individuals may be asymptomatic.","Symptoms of high molecular weight kininogen deficiency include prolonged bleeding time, reduced levels of kininogen in the blood, and increased susceptibility to bruising and bleeding.","['What are the signs and symptoms of High molecular weight kininogen deficiency? The Human Phenotype Ontology provides the following list of signs and symptoms for High molecular weight kininogen deficiency. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Autosomal recessive inheritance - Prolonged partial thromboplastin time - Reduced kininogen activity - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.']",True,True
