qtype,question,answer,possible_ambiguities,ambiguous_question,unambiguous_question
inheritance,Is MECP2 duplication syndrome inherited ?,"Is MECP2 duplication syndrome inherited? MECP2 duplication syndrome is inherited in an X-linked manner. A condition is considered X-linked if the genetic change that causes the condition is located on the X chromosome, one of the two sex chromosomes (the Y chromosome is the other sex chromosome). In males (who have only one X chromosome), a duplication of the MECP2 gene in each cell is sufficient to cause the condition. In females (who have two X chromosomes), a duplication of one of the two copies of the gene typically does not cause the disorder. Early in the development of females, one of the two X chromosomes is randomly and permanently inactivated in each cell (called X-inactivation). X-inactivation prevents female cells from having twice as many functional X chromosomes as males. Because X-inactivation is usually random, the X chromosome inherited from the mother is active in some cells, and the X chromosome inherited from the father is active in other cells. However, when a female has an X chromosome with a duplicated copy of the MECP2 gene, the abnormal chromosome is often preferentially inactivated in many or all cells. This is called ""skewed X-inactivation."" It prevents some women with an MECP2 duplication from developing features of the duplication since the extra genetic material is not active. In most cases, MECP2 duplication syndrome is inherited from a mother who has no signs or symptoms of the duplication. Rarely, the condition is not inherited and occurs due to a random event during the formation of the egg or sperm, or in early fetal development. When this happens, it is called a de novo duplication (occurring as a new genetic change for the first time in the affected person).","{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""MECP2"", ""full_form"": ""Methyl CpG binding protein 2""}]}",Is MECP2 duplication syndrome inherited ?,Is Methyl CpG binding protein 2 duplication syndrome inherited ?
frequency,How many people are affected by retinal arterial macroaneurysm with supravalvular pulmonic stenosis ?,"RAMSVPS is a rare disorder. Only a small number of affected individuals and families, all from Saudi Arabia, have been described in the medical literature.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""RAM"", ""full_form"": ""retinal arterial macroaneurysm""}, {""ambiguity_type"": ""full_form"", ""abbreviation"": ""SVPS"", ""full_form"": ""supravalvular pulmonic stenosis""}]}",How many people are affected by RAM with SVPS ?,How many people are affected by retinal arterial macroaneurysm with supravalvular pulmonic stenosis ?
research,what research (or clinical trials) is being done for Opsoclonus Myoclonus ?,"The NINDS supports and conducts research on movement disorders such as opsoclonus myoclonus. These studies are aimed at increasing knowledge about these disorders and finding ways to prevent, treat, and cure them.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""OM"", ""full_form"": ""Opsoclonus Myoclonus""}]}",what research (or clinical trials) is being done for OM ?,what research (or clinical trials) is being done for Opsoclonus Myoclonus ?
causes,What causes Chronic Fatigue Syndrome?,"Despite a vigorous search, scientists have not yet identified what causes CFS. While a single cause for CFS may yet be identified, another possibility is that CFS has multiple causes. Conditions that have been studied to determine if they cause or trigger the development of CFS include infections, immune disorders, stress, trauma, and toxins.
  Infection
  
Various types of infections have been studied to determine if they might cause or trigger CFS:
  
   - Candida albicans, a fungus that causes yeast infections
   - Mycoplasma, a cause of atypical pneumonia
   - Ross River virus, which causes Ross River Fever, a mosquito-borne tropical disease
  
  Could One Type of Infection Lead to CFS?
  
Researchers from around the world have studied if a single type of infection might be the cause of CFS, analyzed the data, and not yet found any association between CFS and infection. Researchers are still analyzing samples from CFS patients using the latest molecular methods to search for previously unknown infections (pathogen discovery). To date, these studies suggest that no one infection or pathogen causes CFS and that the illness may be triggered by a variety of illnesses or conditions. In fact, infection with Epstein-Barr virus, Ross River virus, and Coxiella burnetti will lead to a post-infective condition that meets the criteria for CFS in approximately 10-12% of cases. People who had severe symptoms when they became infected were more likely than those with mild symptoms to later develop CFS symptoms. The possibility remains that there may be a variety of different ways in which patients can develop CFS.
  Immune System and Allergies
  
Studies have looked to see if changes in a person's immune system might lead to CFS. The findings have been mixed. Similarities in symptoms from immune responses to infection and CFS lead to hypotheses that CFS may be caused by stress or a viral infection, which may lead to the chronic production of cytokines and then to CFS.
  
Antibodies against normal parts of the body (auto-antibodies) and immune complexes have been seen in some CFS patients. However, no associated tissue damage typical of autoimmune disease has been described in CFS patients. The opportunistic infections or increased risk for cancer observed in persons with immunodeficiency diseases or in immunosuppressed individuals is also not observed in CFS.
  
T-cell activation markers have been reported to be different between groups of CFS patients and healthy persons, but not all investigators have consistently observed these differences.
  
Allergic diseases and secondary illnesses such as sinusitis could be one predisposing factor for CFS, but not all CFS patients have allergies. Many patients do, however, report intolerances for certain substances that may be found in foods or over-the-counter medications, such as alcohol.
  
                
  Hypothalamic-Pituitary Adrenal (HPA) Axis
  
The central nervous system plays an important role in CFS. Physical or emotional stress, which is commonly reported as a pre-onset condition in CFS patients, alters the activity of the hypothalamic-pituitary-adrenal axis, or HPA axis, leading to altered release of corticotrophin-releasing hormone (CRH), cortisol, and other hormones. These hormones can influence the immune system and many other body systems.
  
Some CFS patients produce lower levels of cortisol than do healthy people. Similar hormonal abnormalities have also been observed among CFS patients and in persons with related disorders like fibromyalgia. Cortisol suppresses inflammation and cellular immune activation, and reduced levels might relax constraints on inflammatory processes and immune cell activation. Even though CFS patients had lower levels of cortisol than healthy individuals, their cortisol levels were still within the acceptable range of what is considered normal. Therefore, doctors cannot use cortisol levels as a way to diagnose CFS.
  
                
  Abnormally Low Blood Pressure and Lightheadedness (Neurally Mediated Hypotension)
  
Disturbances in the autonomic regulation of blood pressure and pulse have been found in CFS patients. This problem with maintaining blood pressure can be diagnosed by using tilt table testing, which involves laying the patient horizontally on a table and then tilting the table upright to 70 degrees for 45 minutes while monitoring blood pressure and heart rate. Persons with neurally mediated hypotension (NMH) or postural orthostatic tachycardia (POTS) will develop lower blood pressure under these conditions, as well as other characteristic symptoms, such as lightheadedness, visual dimming, or a slow response to verbal stimuli. Others may develop an unusually rapid heart rate also associated with the symptoms of the syndrome. Many CFS patients experience lightheadedness or worsened fatigue when they stand for prolonged periods or when in warm places, such as in a hot shower -- all circumstances that are known to trigger NMH or POTS.
  
NMH and/or POTS share some of the symptoms of CFS. They should be considered in a CFS patients whose symptoms are worsened with changes in position, after eating, following unusual amounts of or inadequate fluid intake, or increases in activity. Not all patients with CFS will have these conditions, however.
  
                
  Nutritional Deficiency
  
There is no published scientific evidence that CFS is caused by a nutritional deficiency. While evidence is currently lacking for nutritional defects in CFS patients, it should also be added that a balanced diet can be favorable to better health in general and would be expected to benefit a person with any chronic illness.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""CFS"", ""full_form"": ""Chronic Fatigue Syndrome""}]}",What causes CFS?,What causes Chronic Fatigue Syndrome?
inheritance,Is alveolar capillary dysplasia with misalignment of pulmonary veins inherited ?,"ACD/MPV is usually not inherited, and most affected people have no history of the disorder in their family. The genetic changes associated with this condition usually occur during the formation of reproductive cells (eggs and sperm) or in early fetal development. When the condition is caused by a FOXF1 gene mutation or deletion, one altered or missing gene in each cell is sufficient to cause the disorder. Individuals with ACD/MPV do not pass the genetic change on to their children because they do not live long enough to reproduce.  A few families have been identified in which more than one sibling has ACD/MPV. It is not clear how ACD/MPV is inherited in these families because no genetic changes have been identified.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""ACD/MPV"", ""full_form"": ""alveolar capillary dysplasia with misalignment of pulmonary veins""}]}",Is ACD/MPV inherited ?,Is alveolar capillary dysplasia with misalignment of pulmonary veins inherited ?
symptoms,What are the symptoms of Factor V Leiden thrombophilia ?,"What are the signs and symptoms of factor V Leiden thrombophilia? Individuals affected by factor V Leiden thrombophilia have an increased risk of developing blood clots. The severity of factor V Leiden thrombophilia is extremely variable. Many individuals with the factor V Leiden allele never develop a blood clot. Although most individuals with factor V thrombophilia do not experience their first thrombotic event until adulthood, some have recurrent thromboembolism before age 30 years. The chance a person will develop a blood clot is affected by the number of factor V Leiden mutations, the presence of coexisting genetic abnormalities, and non-genetic risk factors.  Non-genetic risk factors include surgery, long periods of not moving (like sitting on a long airplane ride), birth control pills and other female hormones, childbirth within the last 6 months, and traumas or fractures. Individuals who inherit one copy of the factor V Leiden mutation have a fourfold to eightfold increase in the chance of developing a clot.  Homozygotes (people who inherit two factor V Leiden mutations) may have up to 80 times the usual risk of developing a blood clot. Considering that the risk of developing an abnormal blood clot averages about 1 in 1,000 per year in the general population, the presence of one copy of the factor V Leiden mutation increases that risk to 4 to 8 in 1,000, and having two copies of the mutation may raise the risk as high as 80 in 1,000. People with factor V Leiden have an increased chance of having a blood clot that forms in large veins in the legs (deep venous thrombosis, or DVT) or a clot that travels through the bloodstream and lodges in the lungs (pulmonary embolism, or PE). Symptoms of deep vein thrombosis usually include leg pain, tenderness, swelling, increased warmth or redness in one leg. The symptoms of pulmonary embolism usually include cough, chest pain, shortness of breath or rapid heartbeat or breathing. To learn more about the symptoms of DVT and PE, click here.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""FVL"", ""full_form"": ""Factor V Leiden""}]}",What are the symptoms of FVL thrombophilia ?,What are the symptoms of Factor V Leiden thrombophilia ?
frequency,How many people are affected by autosomal recessive hyper-IgE syndrome ?,AR-HIES is a rare disorder whose prevalence is unknown.,"{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""IgE"", ""full_form"": ""Immunoglobulin E""}]}",How many people are affected by autosomal recessive hyper-IgE syndrome ?,How many people are affected by autosomal recessive hyper-Immunoglobulin E syndrome ?
exams and tests,How to diagnose Cramp-fasciculation syndrome ?,"How is cramp-fasciculation syndrome diagnosed?  A diagnosis of cramp-fasciculation syndrome is generally based on the presence of characteristic signs and symptoms. Namely, a history of frequent muscle cramps, twitching, and pain (often worsened by exercise) without muscle weakness or wasting is suggestive of the condition. It is also important to rule out other conditions that may cause similar features. Electromyography (EMG) or repetitive nerve stimulation studies may also be done to assess the health of muscles and the nerves that control them. In repetitive nerve stimulation studies, muscle responses are recorded when the nerves are repetitively stimulated by small pulses of electricity.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""CFS"", ""full_form"": ""Cramp-fasciculation syndrome""}]}",How to diagnose CFS ?,How to diagnose Cramp-fasciculation syndrome ?
inheritance,Is Dentatorubral-pallidoluysian atrophy inherited ?,How is dentatorubral-pallidoluysian atrophy (DRPLA) inherited?,"{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""DRPLA"", ""full_form"": ""Dentatorubral-pallidoluysian atrophy""}]}",Is DRPLA inherited ?,Is Dentatorubral-pallidoluysian atrophy inherited ?
treatment,What are the treatments for Renal Artery Stenosis ?,"Treatment for RAS includes lifestyle changes, medications, and surgery and aims to
                
- prevent RAS from getting worse  - treat RVH  - relieve the blockage of the renal arteries
                
RAS that has not led to RVH or caused a significant blockage of the artery may not need treatment. RAS that needs to be treated, also called critical RAS, is defined by the American Heart Association as a reduction by more than 60 percent in the diameter of the renal artery.1 However, health care providers are not exactly sure what degree of blockage will cause significant problems.
                
Lifestyle Changes
                
The first step in treating RAS is making lifestyle changes that promote healthy blood vessels throughout the body, including the renal arteries. The best ways to keep plaque from building up in the arteries are to exercise, maintain a healthy body weight, and choose healthy foods. People who smoke should quit to help protect their kidneys and other internal organs.
                
Medications
                
People with RVH may need to take medications thatwhen taken as prescribed by their health care providerlower blood pressure and can also significantly slow the progression of kidney disease. Two types of blood pressure-lowering medications, angiotensin-converting enzyme (ACE) inhibitors and angiotensin receptor blockers (ARBs), have proven effective in slowing the progression of kidney disease. Many people require two or more medications to control their blood pressure. In addition to an ACE inhibitor or an ARB, a diuretica medication that helps the kidneys remove fluid from the bloodmay be prescribed. Beta blockers, calcium channel blockers, and other blood pressure medications may also be needed. Some people with RAS cannot take an ACE inhibitor or ARB due to the effects on the kidneys. People with RAS who are prescribed an ACE inhibitor or ARB should have their kidney function checked within a few weeks of starting the medication.
                
A cholesterol-lowering medication to prevent plaque from building up in the arteries and a blood-thinner, such as aspirin, to help the blood flow more easily through the arteries may also be prescribed.
                
Surgery
                
Although surgery has been used in the past for treatment of RAS due to atherosclerosis, recent studies have not shown improved outcomes with surgery compared with medication. However, surgery may be recommended for people with RAS caused by FMD or RAS that does not improve with medication. Different types of surgery for RAS include the following. The procedures are performed in a hospital by a vascular surgeona doctor who specializes in repairing blood vessels. Anesthesia is needed.
                
- Angioplasty and stenting. Angioplasty is a procedure in which a catheter is put into the renal artery, usually through the groin, just as in a catheter angiogram. In addition, for angioplasty, a tiny balloon at the end of the catheter can be inflated to flatten the plaque against the artery wall. A small mesh tube, called a stent, may then be positioned inside the artery to keep plaque flattened and the artery open. People with RAS caused by FMD may be successfully treated with angioplasty alone, while angioplasty with stenting has a better outcome for people with RAS caused by atherosclerosis.  - Endarterectomy or bypass surgery. In an endarterectomy, the plaque is cleaned out of the artery, leaving the inside lining smooth and clear. To create a bypass, a vein or synthetic tube is used to connect the kidney to the aorta. This new path serves as an alternate route for blood to flow around the blocked artery into the kidney. These procedures are not performed as often as in the past due to a high risk of complications during and after the procedure.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""RAS"", ""full_form"": ""Renal Artery Stenosis""}]}",What are the treatments for RAS ?,What are the treatments for Renal Artery Stenosis ?
inheritance,Is granulomatosis with polyangiitis inherited ?,The inheritance pattern of GPA is unknown. Most instances are sporadic and occur in individuals with no history of the disorder in their family. Only rarely is more than one member of the same family affected by the disorder.,"{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""GPA"", ""full_form"": ""granulomatosis with polyangiitis""}]}",Is GPA inherited ?,Is granulomatosis with polyangiitis inherited ?
genetic changes,What are the genetic changes related to Ellis-van Creveld syndrome ?,"Ellis-van Creveld syndrome can be caused by mutations in the EVC or EVC2 gene. Little is known about the function of these genes, although they appear to play important roles in cell-to-cell signaling during development. In particular, the proteins produced from the EVC and EVC2 genes are thought to help regulate the Sonic Hedgehog signaling pathway. This pathway plays roles in cell growth, cell specialization, and the normal shaping (patterning) of many parts of the body.  The mutations that cause Ellis-van Creveld syndrome result in the production of an abnormally small, nonfunctional version of the EVC or EVC2 protein. It is unclear how the defective proteins lead to the specific signs and symptoms of this condition. Studies suggest that they prevent normal Sonic Hedgehog signaling in the developing embryo, disrupting the formation and growth of the bones, teeth, and other parts of the body.  Together, mutations in the EVC and EVC2 genes account for more than half of all cases of Ellis-van Creveld syndrome. The cause of the remaining cases is unknown.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""EVC"", ""full_form"": ""Ellis-van Creveld""}]}",What are the genetic changes related to EVC syndrome ?,What are the genetic changes related to Ellis-van Creveld syndrome ?
causes,What causes Erythropoietic protoporphyria ?,What is the genetic basis of erythropoietic protoporphyria? Erythropoietic protoporphyria is caused by mutations in the FECH gene.,"{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""EPP"", ""full_form"": ""Erythropoietic protoporphyria""}]}",What causes EPP ?,What causes Erythropoietic protoporphyria ?
symptoms,What are the symptoms of Charcot-Marie-Tooth disease type 1E ?,"What are the signs and symptoms of Charcot-Marie-Tooth disease type 1E? The Human Phenotype Ontology provides the following list of signs and symptoms for Charcot-Marie-Tooth disease type 1E. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Areflexia - Autosomal dominant inheritance - Childhood onset - Decreased motor nerve conduction velocity - Distal muscle weakness - Distal sensory impairment - Foot dorsiflexor weakness - Hammertoe - Hyporeflexia - Juvenile onset - Pes cavus - Sensorineural hearing impairment - Split hand - Steppage gait - Talipes calcaneovalgus - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""CMT1E"", ""full_form"": ""Charcot-Marie-Tooth disease type 1E""}]}",What are the symptoms of CMT1E ?,What are the symptoms of Charcot-Marie-Tooth disease type 1E ?
outlook,What is the outlook for Plasma Cell Neoplasms (Including Multiple Myeloma) ?,"Certain factors affect prognosis (chance of recovery) and treatment options. The prognosis (chance of recovery) depends on the following:         - The type of plasma cell neoplasm.    - The stage of the disease.    - Whether a certain immunoglobulin (antibody) is present.    - Whether there are certain genetic changes.    - Whether the kidney is damaged.    - Whether the cancer responds to initial treatment or recurs (comes back).        Treatment options depend on the following:         - The type of plasma cell neoplasm.    - The age and general health of the patient.    - Whether there are signs, symptoms, or health problems, such as kidney failure or infection, related to the disease.    - Whether the cancer responds to initial treatment or recurs (comes back).","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""PCN"", ""full_form"": ""Plasma Cell Neoplasms""}]}",What is the outlook for PCN (Including Multiple Myeloma) ?,What is the outlook for Plasma Cell Neoplasms (Including Multiple Myeloma) ?
symptoms,What are the symptoms of GOMBO syndrome ?,"What are the signs and symptoms of GOMBO syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for GOMBO syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of cardiovascular system morphology - Autosomal recessive inheritance - Brachydactyly syndrome - Clinodactyly - Delayed puberty - Intellectual disability, progressive - Intellectual disability, severe - Microcephaly - Microphthalmia - Radial deviation of finger - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""GOMBO"", ""full_form"": ""Growth retardation, Ocular abnormalities, Microcephaly, Brachydactyly, and Oligophrenia""}]}",What are the symptoms of GOMBO syndrome ?,"What are the symptoms of Growth retardation, Ocular abnormalities, Microcephaly, Brachydactyly, and Oligophrenia syndrome ?"
symptoms,What are the symptoms of Congenital hypothyroidism ?,"What are the signs and symptoms of Congenital hypothyroidism? The Human Phenotype Ontology provides the following list of signs and symptoms for Congenital hypothyroidism. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the fontanelles or cranial sutures 90% Abnormality of the liver 90% Abnormality of the tongue 90% Abnormality of the voice 90% Aplasia/Hypoplasia of the abdominal wall musculature 90% Constipation 90% Hypothyroidism 90% Muscular hypotonia 90% Sleep disturbance 90% Umbilical hernia 90% Coarse facial features 50% Cognitive impairment 50% Depressed nasal ridge 50% Dry skin 50% Hypothermia 50% Short stature 50% Sinusitis 50% Thickened skin 50% Abnormality of epiphysis morphology 7.5% Abnormality of reproductive system physiology 7.5% Abnormality of the pericardium 7.5% Anterior hypopituitarism 7.5% Arrhythmia 7.5% Cataract 7.5% Goiter 7.5% Hearing impairment 7.5% Hypertension 7.5% Hypotension 7.5% Intestinal obstruction 7.5% Nephrolithiasis 7.5% Optic atrophy 7.5% Oral cleft 7.5% Paresthesia 7.5% Tracheoesophageal fistula 7.5% Autosomal recessive inheritance - Congenital hypothyroidism - Infantile onset - Thyroid hypoplasia - Thyroid-stimulating hormone excess - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""CH"", ""full_form"": ""Congenital hypothyroidism""}]}",What are the symptoms of CH ?,What are the symptoms of Congenital hypothyroidism ?
treatment,What are the treatments for DOORS syndrome ?,These resources address the diagnosis or management of DOORS syndrome:  - Gene Review: Gene Review: TBC1D24-Related Disorders   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,"{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""DOORS"", ""full_form"": ""Deafness, Onychodystrophy, Osteodystrophy, Mental Retardation, Seizures""}]}",What are the treatments for DOORS syndrome ?,"What are the treatments for Deafness, Onychodystrophy, Osteodystrophy, Mental Retardation, Seizures syndrome ?"
treatment,What are the treatments for Arteriovenous Malformation ?,"Treatment options depend on the type of AVM, its location, noticeable symptoms, and the general health condition of the individual. Medication can often alleviate general symptoms such as headache, back pain, and seizures caused by AVMs and other vascular lesions. The definitive treatment for AVMs is either surgery to either remove the AVM or to create an artificial blood clot to close the lesion or focused irradiation treatment that is designed to damage the blood vessel walls and close the lesion. The decision to treat an AVM requires a careful consideration of possible benefits versus risks.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""AVM"", ""full_form"": ""Arteriovenous Malformation""}]}",What are the treatments for AVM ?,What are the treatments for Arteriovenous Malformation ?
inheritance,Is hereditary diffuse gastric cancer inherited ?,"HDGC is inherited in an autosomal dominant pattern, which means one copy of the altered CDH1 gene in each cell is sufficient to increase the risk of developing cancer.  In most cases, an affected person has one parent with the condition.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""HDGC"", ""full_form"": ""hereditary diffuse gastric cancer""}]}",Is HDGC inherited ?,Is hereditary diffuse gastric cancer inherited ?
inheritance,Is X-linked agammaglobulinemia inherited ?,"This condition is inherited in an X-linked recessive pattern. The gene associated with this condition is located on the X chromosome, which is one of the two sex chromosomes. In males (who have only one X chromosome), one altered copy of the gene in each cell is sufficient to cause the condition. In females (who have two X chromosomes), a mutation would have to occur in both copies of the gene to cause the disorder. Because it is unlikely that females will have two altered copies of this gene, males are affected by X-linked recessive disorders much more frequently than females. A characteristic of X-linked inheritance is that fathers cannot pass X-linked traits to their sons.  About half of affected individuals do not have a family history of XLA. In most of these cases, the affected person's mother is a carrier of one altered BTK gene. Carriers do not have the immune system abnormalities associated with XLA, but they can pass the altered gene to their children. In other cases, the mother is not a carrier and the affected individual has a new mutation in the BTK gene.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""XLA"", ""full_form"": ""X-linked agammaglobulinemia""}]}",Is XLA inherited ?,Is X-linked agammaglobulinemia inherited ?
research,what research (or clinical trials) is being done for Adult Central Nervous System Tumors ?,"New types of treatment are being tested in clinical trials.
                    This summary section refers to new treatments being studied in clinical trials, but it may not mention every new treatment being studied. Information about clinical trials is available from the NCI website.     Proton beam radiation therapy     Proton beam radiation therapy is a type of high-energy, external radiation therapy that uses streams of protons (small, positively-charged pieces of matter) to make radiation. This type of radiation kills tumor cells with little damage to nearby tissues. It is used to treat cancers of the head, neck, and spine and organs such as the brain, eye, lung, and prostate. Proton beam radiation is different from x-ray radiation.        Biologic therapy     Biologic therapy is a treatment that uses the patients immune system to fight cancer. Substances made by the body or made in a laboratory are used to boost, direct, or restore the bodys natural defenses against cancer. This type of cancer treatment is also called biotherapy or immunotherapy.    Biologic therapy is being studied for the treatment of some types of brain tumors. Treatments may include the following:            -  Dendritic cell vaccine therapy.     -  Gene therapy.
                
                
                    Patients may want to think about taking part in a clinical trial.
                    For some patients, taking part in a clinical trial may be the best treatment choice. Clinical trials are part of the cancer research process. Clinical trials are done to find out if new cancer treatments are safe and effective or better than the standard treatment.   Many of today's standard treatments for cancer are based on earlier clinical trials. Patients who take part in a clinical trial may receive the standard treatment or be among the first to receive a new treatment.   Patients who take part in clinical trials also help improve the way cancer will be treated in the future. Even when clinical trials do not lead to effective new treatments, they often answer important questions and help move research forward.
                
                
                    Patients can enter clinical trials before, during, or after starting their cancer treatment.
                    Some clinical trials only include patients who have not yet received treatment. Other trials test treatments for patients whose cancer has not gotten better. There are also clinical trials that test new ways to stop cancer from recurring (coming back) or reduce the side effects of cancer treatment.   Clinical trials are taking place in many parts of the country. See the Treatment Options section that follows for links to current treatment clinical trials. These have been retrieved from NCI's listing of clinical trials.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""CNS"", ""full_form"": ""Central Nervous System""}]}",what research (or clinical trials) is being done for Adult CNS Tumors ?,what research (or clinical trials) is being done for Adult Central Nervous System Tumors ?
frequency,How many people are affected by head and neck squamous cell carcinoma ?,"HNSCC is the seventh most common cancer worldwide. Approximately 600,000 new cases are diagnosed each year, including about 50,000 in the United States. HNSCC occurs most often in men in their 50s or 60s, although the incidence among younger individuals is increasing.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""HNSCC"", ""full_form"": ""head and neck squamous cell carcinoma""}]}",How many people are affected by HNSCC ?,How many people are affected by head and neck squamous cell carcinoma ?
genetic changes,What are the genetic changes related to Jacobsen syndrome ?,"Jacobsen syndrome is caused by a deletion of genetic material at the end of the long (q) arm of chromosome 11. The size of the deletion varies among affected individuals, with most affected people missing 5 million to 16 million DNA building blocks (also written as 5 Mb to 16 Mb). In almost all affected people, the deletion includes the tip of chromosome 11. Larger deletions tend to cause more severe signs and symptoms than smaller deletions.  The features of Jacobsen syndrome are likely related to the loss of multiple genes on chromosome 11. Depending on its size, the deleted region can contain from about 170 to more than 340 genes. Many of these genes have not been well characterized. However, genes in this region appear to be critical for the normal development of many parts of the body, including the brain, facial features, and heart. Only a few genes have been studied as possible contributors to the specific features of Jacobsen syndrome; researchers are working to determine which additional genes may be associated with this condition.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""JBS"", ""full_form"": ""Jacobsen syndrome""}]}",What are the genetic changes related to JBS ?,What are the genetic changes related to Jacobsen syndrome ?
